percentile,year,variable_code,value
p99p100,1950,sptinc_z_US-NV,0.1522
p99p100,1951,sptinc_z_US-NV,0.144
p99p100,1952,sptinc_z_US-NV,0.1242
p99p100,1953,sptinc_z_US-NV,0.0729
p99p100,1954,sptinc_z_US-NV,0.1052
p99p100,1955,sptinc_z_US-NV,0.1078
p99p100,1956,sptinc_z_US-NV,0.098
p99p100,1957,sptinc_z_US-NV,0.0988
p99p100,1958,sptinc_z_US-NV,0.0991
p99p100,1959,sptinc_z_US-NV,0.0801
p99p100,1960,sptinc_z_US-NV,0.0821
p99p100,1961,sptinc_z_US-NV,0.1065
p99p100,1962,sptinc_z_US-NV,0.0898
p99p100,1963,sptinc_z_US-NV,0.0975
p99p100,1964,sptinc_z_US-NV,0.0961
p99p100,1965,sptinc_z_US-NV,0.0982
p99p100,1966,sptinc_z_US-NV,0.0924
p99p100,1967,sptinc_z_US-NV,0.1062
p99p100,1968,sptinc_z_US-NV,0.1415
p99p100,1969,sptinc_z_US-NV,0.152
p99p100,1970,sptinc_z_US-NV,0.0839
p99p100,1971,sptinc_z_US-NV,0.0898
p99p100,1972,sptinc_z_US-NV,0.0995
p99p100,1973,sptinc_z_US-NV,0.0975
p99p100,1974,sptinc_z_US-NV,0.0845
p99p100,1975,sptinc_z_US-NV,0.0872
p99p100,1976,sptinc_z_US-NV,0.0898
p99p100,1977,sptinc_z_US-NV,0.1015
p99p100,1978,sptinc_z_US-NV,0.1033
p99p100,1979,sptinc_z_US-NV,0.1136
p99p100,1980,sptinc_z_US-NV,0.1086
p99p100,1981,sptinc_z_US-NV,0.1094
p99p100,1982,sptinc_z_US-NV,0.0953
p99p100,1983,sptinc_z_US-NV,0.1169
p99p100,1984,sptinc_z_US-NV,0.1428
p99p100,1985,sptinc_z_US-NV,0.1481
p99p100,1986,sptinc_z_US-NV,0.2026
p99p100,1987,sptinc_z_US-NV,0.1494
p99p100,1988,sptinc_z_US-NV,0.2187
p99p100,1989,sptinc_z_US-NV,0.1827
p99p100,1990,sptinc_z_US-NV,0.2088
p99p100,1991,sptinc_z_US-NV,0.1921
p99p100,1992,sptinc_z_US-NV,0.2181
p99p100,1993,sptinc_z_US-NV,0.2076
p99p100,1994,sptinc_z_US-NV,0.1998
p99p100,1995,sptinc_z_US-NV,0.2054
p99p100,1996,sptinc_z_US-NV,0.2326
p99p100,1997,sptinc_z_US-NV,0.2302
p99p100,1998,sptinc_z_US-NV,0.2575
p99p100,1999,sptinc_z_US-NV,0.2472
p99p100,2000,sptinc_z_US-NV,0.2756
p99p100,2001,sptinc_z_US-NV,0.2289
p99p100,2002,sptinc_z_US-NV,0.2266
p99p100,2003,sptinc_z_US-NV,0.2353
p99p100,2004,sptinc_z_US-NV,0.3143
p99p100,2005,sptinc_z_US-NV,0.3371
p99p100,2006,sptinc_z_US-NV,0.3234
p99p100,2007,sptinc_z_US-NV,0.3083
p99p100,2008,sptinc_z_US-NV,0.2453
p99p100,2009,sptinc_z_US-NV,0.2174
p99p100,2010,sptinc_z_US-NV,0.2456
p99p100,2011,sptinc_z_US-NV,0.2238
p99p100,2012,sptinc_z_US-NV,0.3
p99p100,2013,sptinc_z_US-NV,0.2774
p99p100,2014,sptinc_z_US-NV,0.2491
p99p100,2015,sptinc_z_US-NV,0.2526
p99p100,2016,sptinc_z_US-NV,0.288
p99p100,2017,sptinc_z_US-NV,0.2673
p99p100,2018,sptinc_z_US-NV,0.3116
p99p100,1980,sptinc_z_PW,0.0885
p99p100,1981,sptinc_z_PW,0.09
p99p100,1982,sptinc_z_PW,0.0914
p99p100,1983,sptinc_z_PW,0.0929
p99p100,1984,sptinc_z_PW,0.0944
p99p100,1985,sptinc_z_PW,0.096
p99p100,1986,sptinc_z_PW,0.0976
p99p100,1987,sptinc_z_PW,0.0992
p99p100,1988,sptinc_z_PW,0.1008
p99p100,1989,sptinc_z_PW,0.1025
p99p100,1990,sptinc_z_PW,0.1042
p99p100,1991,sptinc_z_PW,0.107
p99p100,1992,sptinc_z_PW,0.1096
p99p100,1993,sptinc_z_PW,0.1122
p99p100,1994,sptinc_z_PW,0.1147
p99p100,1995,sptinc_z_PW,0.1172
p99p100,1996,sptinc_z_PW,0.1195
p99p100,1997,sptinc_z_PW,0.1218
p99p100,1998,sptinc_z_PW,0.124
p99p100,1999,sptinc_z_PW,0.1261
p99p100,2000,sptinc_z_PW,0.1282
p99p100,2001,sptinc_z_PW,0.132
